Year,Sector_Code,Sector_Name_EN,Sector_Name_VI,Sector_Category,Gas,Source,Emissions_MtCO2e
1990,AGR,Agriculture,Nông nghiệp & Trồng lúa nước,Agriculture,All GHG,,49.44
1990,BLD,Building,Tòa nhà & Dân dụng,Building,All GHG,,11.72
1990,BLD,Building,Tòa nhà & Dân dụng,Building,CO2,,1.97
1990,ELE,Electricity/Heat,Sản xuất Điện & Nhiệt,Energy,All GHG,,4.9
1990,ELE,Electricity/Heat,Sản xuất Điện & Nhiệt,Energy,CO2,,4.88
1990,ENG,Energy,Năng lượng & Khai khoáng,Energy,All GHG,,30.88
1990,ENG,Energy,Năng lượng & Khai khoáng,Energy,CO2,,18.26
1990,IND,Manufacturing/Construction,Công nghiệp Chế biến & Xây dựng,Industry,All GHG,,5.92
1990,IND,Manufacturing/Construction,Công nghiệp Chế biến & Xây dựng,Industry,CO2,,5.66
1990,IPU,Industrial Processes,"Quá trình Công nghiệp (Xi măng, Thép)",Industry,All GHG,,1.23
1990,IPU,Industrial Processes,"Quá trình Công nghiệp (Xi măng, Thép)",Industry,CO2,,1.12
1990,OTH,Bunker Fuels,Bunker Fuels,Other,All GHG,,0.09
1990,OTH,Bunker Fuels,Bunker Fuels,Other,CO2,,0.09
1990,TOT,Total excluding LULUCF,Tổng phát thải quốc gia (trừ LULUCF),Total,All GHG,,83.19
1990,TOT,Total excluding LULUCF,Tổng phát thải quốc gia (trừ LULUCF),Total,CO2,,19.38
1991,AGR,Agriculture,Nông nghiệp & Trồng lúa nước,Agriculture,All GHG,,51.9
1991,BLD,Building,Tòa nhà & Dân dụng,Building,All GHG,,12.54
1991,BLD,Building,Tòa nhà & Dân dụng,Building,CO2,,2.56
1991,ELE,Electricity/Heat,Sản xuất Điện & Nhiệt,Energy,All GHG,,3.65
1991,ELE,Electricity/Heat,Sản xuất Điện & Nhiệt,Energy,CO2,,3.63
1991,ENG,Energy,Năng lượng & Khai khoáng,Energy,All GHG,,31.98
1991,ENG,Energy,Năng lượng & Khai khoáng,Energy,CO2,,18.55
1991,IND,Manufacturing/Construction,Công nghiệp Chế biến & Xây dựng,Industry,All GHG,,6.52
1991,IND,Manufacturing/Construction,Công nghiệp Chế biến & Xây dựng,Industry,CO2,,6.25
1991,IPU,Industrial Processes,"Quá trình Công nghiệp (Xi măng, Thép)",Industry,All GHG,,1.5
1991,IPU,Industrial Processes,"Quá trình Công nghiệp (Xi măng, Thép)",Industry,CO2,,1.33
1991,OTH,Bunker Fuels,Bunker Fuels,Other,All GHG,,0.1
1991,OTH,Bunker Fuels,Bunker Fuels,Other,CO2,,0.1
1991,TOT,Total excluding LULUCF,Tổng phát thải quốc gia (trừ LULUCF),Total,All GHG,,87.05
1991,TOT,Total excluding LULUCF,Tổng phát thải quốc gia (trừ LULUCF),Total,CO2,,19.89
1992,AGR,Agriculture,Nông nghiệp & Trồng lúa nước,Agriculture,All GHG,,53.04
1992,BLD,Building,Tòa nhà & Dân dụng,Building,All GHG,,12.88
1992,BLD,Building,Tòa nhà & Dân dụng,Building,CO2,,2.68
1992,ELE,Electricity/Heat,Sản xuất Điện & Nhiệt,Energy,All GHG,,3.06
1992,ELE,Electricity/Heat,Sản xuất Điện & Nhiệt,Energy,CO2,,3.05
1992,ENG,Energy,Năng lượng & Khai khoáng,Energy,All GHG,,33.23
1992,ENG,Energy,Năng lượng & Khai khoáng,Energy,CO2,,19.13
1992,IND,Manufacturing/Construction,Công nghiệp Chế biến & Xây dựng,Industry,All GHG,,7.04
1992,IND,Manufacturing/Construction,Công nghiệp Chế biến & Xây dựng,Industry,CO2,,6.77
1992,IPU,Industrial Processes,"Quá trình Công nghiệp (Xi măng, Thép)",Industry,All GHG,,1.96
1992,IPU,Industrial Processes,"Quá trình Công nghiệp (Xi măng, Thép)",Industry,CO2,,1.77
1992,OTH,Bunker Fuels,Bunker Fuels,Other,All GHG,,0.11
1992,OTH,Bunker Fuels,Bunker Fuels,Other,CO2,,0.11
1992,TOT,Total excluding LULUCF,Tổng phát thải quốc gia (trừ LULUCF),Total,All GHG,,90.42
1992,TOT,Total excluding LULUCF,Tổng phát thải quốc gia (trừ LULUCF),Total,CO2,,20.9
