Year,CO2_MtCO2e,CO2_Per_Capita_Tonnes,GDP_USD,Methane_MtCO2e,Renewable_Energy_Pct,Total_GHG_MtCO2e
1970,17.5073,0.422114597073964,,40.5772,,62.6817
1971,17.5233,0.412805627120708,,40.983,,63.0921
1972,16.9843,0.391080483052312,,41.3689,,62.9603
1973,18.9263,0.426173367216799,,43.1957,,66.8564
1974,15.7784,0.347438253928559,,44.2325,,64.7548
1975,18.5593,0.399271534310153,,42.6865,,66.2226
1976,13.5594,0.284353981764176,,45.6367,,64.4774
1977,14.7525,0.301348964818047,,45.8578,,66.2761
1978,14.9363,0.297242451037175,,44.8858,,65.0917
1979,15.5796,0.303233602275486,,46.9173,,67.3763
1980,16.2712,0.309986067658738,,47.328,,68.7097
1981,16.7397,0.311505007216383,,49.3325,,71.6138
1982,18.1238,0.329456014019232,,52.238,,76.5242
1983,19.5437,0.346901334893064,,52.8688,,79.3449
1984,19.5969,0.339598607543294,,53.875,,80.5132
1985,19.7578,0.334534235010258,14094687820.7445,55.1312,,82.3025
1986,21.6848,0.359334892404348,26336616250.4397,56.0596,,85.6204
1987,24.1185,0.391631674587228,36658108850.3148,55.8097,,87.5807
1988,23.6751,0.376732716530729,25423812648.5941,58.6705,,90.7812
1989,20.3305,0.316934380514063,6293304974.59403,61.4925,,90.417
1990,20.5778,0.314143053752967,6471740805.56984,62.6927,75.9,91.8952
1991,20.7206,0.309763046353606,9613369520.41885,65.5508,75.5,96.0461
1992,21.7025,0.317937193893432,9866990236.43587,69.2046,74.5,100.5193
1993,25.415,0.365229496621063,13180953598.1716,72.1058,70.6,107.6963
1994,29.8814,0.421729685038151,16286433533.3228,73.3916,67.8,115.2483
1995,34.3721,0.477059384088314,20736164458.9505,77.5679,64.9,123.7955
1996,38.7066,0.529093491924232,24657470574.7501,80.3405,62.6,132.2994
1997,44.644,0.60145320114386,26843700441.5482,81.6304,60.5,139.3721
1998,49.8923,0.662583337029676,27209602050.0452,84.8454,59.2,149.6713
1999,51.1038,0.66988474067793,28683659006.7752,89.5671,59.3,156.1279
2000,56.5356,0.732762940866418,31172518403.3162,90.433,57.7,163.6424
2001,62.0917,0.796360252330399,32685198808.5549,90.106,56.1,168.1308
2002,73.0818,0.927761034143203,35064105500.8344,92.2803,52.2,182.8945
2003,77.6463,0.975900126008347,39552513231.9169,94.6699,50.8,191.0392
2004,91.9274,1.14424418007545,45427854693.2554,101.5402,45.8,213.4154
2005,100.5495,1.23999989986226,57633255738.1992,105.3782,44.1,225.2049
2006,103.16,1.25547815833719,66371664817.0436,108.5512,44.2,231.4367
2007,114.314,1.36684666856981,77414425532.2452,110.7624,41.9,245.1668
2008,125.7916,1.47684691804671,99130304099.1274,110.9614,39.3,256.1988
2009,140.8243,1.62877944346484,106014659565.214,113.8412,37.0,275.6843
2010,156.7839,1.79273486369334,147201173196.979,114.5221,34.6,292.7404
2011,156.7664,1.77200618969635,172595049183.925,116.6569,36.3,295.6414
2012,156.2243,1.74532095481779,195590661129.249,116.1271,37.9,295.4604
2013,163.1599,1.80141667663283,213708811665.34,116.8223,37.4,304.038
2014,178.9422,1.95182181139621,233451469642.519,117.5029,36.7,320.0895
2015,200.8183,2.16344818077591,239258328381.741,115.1232,27.8,343.6263
2016,223.8051,2.38090235568537,257096001177.982,113.3726,26.8,364.3785
2017,229.2539,2.40871172027244,281353605986.903,112.9801,28.3,370.3905
2018,282.0973,2.93126723532271,310106478394.659,115.3305,24.3,427.7399
2019,336.5288,3.46316479458409,334365270496.667,115.5605,20.4,484.71
2020,348.3315,3.5515331687432,346615738537.796,113.4124,18.9,492.9551
2021,336.1703,3.39788716841419,366474752771.009,116.9739,24.2,486.7794
2022,343.9999,3.45101965872917,413445230668.578,117.2854,,494.4744
2023,390.7253,3.89354026267807,433805036898.465,117.0515,,542.9235
2024,430.8192,4.26605675468195,476324572783.807,116.4747,,584.2576
2025,,,514697215165.065,,,
